centroide_lat,centroide_lon,population,con_fibra
-34.4385138636954,-58.7536660461848,27620.5,True
-34.4607720798694,-58.7631813315473,41390.0,False
-34.4880046105565,-58.8758544354884,27620.5,False
-34.4152919195327,-58.8695488420707,27620.5,False
-34.3715664829895,-58.8694503722801,27620.5,False
-37.1652201596011,-56.8988186926853,27620.5,False
-37.1296810995623,-56.8712019478631,27620.5,False
-37.1138217498107,-56.8580776153146,45000.0,True
-37.1456506182212,-56.8819737180736,27620.5,False
-34.8832340736186,-58.417777592315,27620.5,False
-34.9179865232138,-58.3821570439019,52529.0,False
-34.7109020476087,-58.2833921197232,109914.0,False
-34.7262969677185,-58.3179142977182,27620.5,False
-34.7044652823354,-58.297585163768,27620.5,False
-34.7459431286802,-58.2347948365317,79557.0,False
-34.7572131736828,-58.2639566525405,27620.5,False
-34.7200676236621,-58.254346982141,262379.0,False
-34.7460539876027,-58.2991252702126,27620.5,False
-34.779761074641,-58.3111614659955,91322.0,False
-34.7722703998346,-58.292930614461,27620.5,False
-34.1847259520637,-60.6989875902975,27620.5,False
-34.2002062759896,-60.72947907762,27620.5,True
-34.1749470374961,-60.6944299346838,27620.5,False
-34.4436592867769,-58.5586455411774,171616.0,False
-34.4530475393768,-58.5421912513957,36973.0,True
-34.4537518251362,-58.5543400812344,39507.0,False
-34.478228664034,-58.5026800107625,27620.5,False
-34.4601958059158,-58.5313611443379,27620.5,False
-34.5094800482416,-58.5669108609788,27620.5,False
-34.4890104372004,-58.499380135853,65859.0,False
-34.469882653323,-58.5112940171937,43595.0,True
-34.469882653323,-58.5112940171937,4569.0,True
-34.5188556851314,-58.5473555040385,35307.0,False
-34.5682733387092,-58.6820583867252,72000.0,True
-34.5682733387092,-58.6820583867252,41358.0,True
-34.5682733387092,-58.6820583867252,15126.0,True
-34.5550627752485,-58.6522136037965,27620.5,False
-34.5524946303365,-58.704793707995,26221.0,False
-34.5431343361878,-58.7092007082159,157532.0,True
-34.5431343361878,-58.7092007082159,9187.0,True
-33.3490410442337,-60.3156761852842,27620.5,True
-33.360724726341,-60.300046996968,27620.5,False
-33.3697926155654,-60.2952727229451,27620.5,False
-33.3643570702242,-60.2947075669285,27620.5,False
-33.401672448024,-60.2374682244366,27620.5,False
-33.3384039563383,-60.2214955044967,159978.0,False
-34.981412227885,-58.3767263751922,27620.5,False
-35.0259018058616,-58.4224036148088,98215.0,True
