ESTADO;NOMBRE NODO;ACRONIMO;PROVINCIA;COORDENADAS
ENSERVICIO;LAS PALMAS;RARHLPM01;CHACO;[-58.681158,-27.049133]
ENSERVICIO;LA LEONESA;RARHLLN01;CHACO;[-58.68115833,-27.0491333]
ENSERVICIO;LAGUNA BLANCA;RARHLGB01;CHACO;[-59.232586,-27.254317]
ENSERVICIO;LOS FRENTONES;RARHLFT01;CHACO;[-61.408611,-26.411639]
ENSERVICIO;LA ESCONDIDA;RARHLES01;CHACO;[-59.446389,-27.104167]
ENSERVICIO;COTE LAI;RARHLAI01;CHACO;[-59.572778,-27.529167]
ENSERVICIO;GENERAL VEDIA;RARHGVD01;CHACO;[-58.661067,-26.935503]
ENSERVICIO;COLONIA POPULAR;RARHCPP01;CHACO;[-59.148694,-27.276111]
ENSERVICIO;CHARADAI;RARHCHD01;CHACO;[-59.857875,-27.650844]
ENSERVICIO;COLONIA BENITEZ;RARHCBN01;CHACO;[-58.946917,-27.3325]
ENSERVICIO;AVIA TERAI;RARHAVT01;CHACO;[-60.729694,-26.686306]
ENSERVICIO;VERA;RARSVRA01;SANTA FE;[-60.19801667,-29.4667]
ENSERVICIO;TOBA;RARSTOB01;SANTA FE;[-60.16961111,-29.2669722]
ENSERVICIO;PUEBLO SANTA LUCIA;RARSPSL01;SANTA FE;[-60.40225833,-29.2828833]
ENSERVICIO;PARAJE 29;RARSPJV01;SANTA FE;[-60.23638889,-29.1031389]
ENSERVICIO;POZO DE LOS INDIOS;RARSPDI01;SANTA FE;[-60.24886111,-28.9424722]
ENSERVICIO;MARGARITA;RARSMRG01;SANTA FE;[-60.24781667,-29.6911333]
ENSERVICIO;LOS PUMAS;RARSLPU01;SANTA FE;[-61.01638889,-29.2640833]
ENSERVICIO;LOS AMORES;RARSLOA01;SANTA FE;[-59.97966667,-28.1001111]
ENSERVICIO;LA GALLARETA;RARSLGA01;SANTA FE;[-60.36773333,-29.5849417]
ENSERVICIO;KILOMETRO 115;RARSKMC01;SANTA FE;[-60.22402778,-28.8255278]
ENSERVICIO;INTIYACO;RARSITY01;SANTA FE;[-60.06902778,-28.6802222]
ENSERVICIO;GARABATO;RARSGRB01;SANTA FE;[-60.14113889,-28.954]
ENSERVICIO;GOLONDRINA;RARSGOL01;SANTA FE;[-60.02488889,-28.5561389]
ENSERVICIO;COLMENA;RARSCNA01;SANTA FE;[-60.08875,-28.75872222]
ENSERVICIO;CANADA OMBU;RARSCDO01;SANTA FE;[-59.99883333,-28.3080278]
ENSERVICIO;PERITO MORENO;RARZPMO01;SANTA CRUZ;[-70.91231389,-46.58902778]
ENSERVICIO;COLONIA LAS HERAS;RARZCLH01;SANTA CRUZ;[-68.90773333,-46.54363611]
ENSERVICIO;BAJO CARACOLES;RARZBCC01;SANTA CRUZ;[-70.9272,-47.445]
ENSERVICIO;RIO MAYO;RARURMY01;CHUBUT;[-70.249681,-45.691042]
ENSERVICIO;JOSE DE SAN MARTIN;RARUJSM01;CHUBUT;[-70.476822,-44.049031]
ENSERVICIO;GOBERNADOR COSTA;RARUGCS01;CHUBUT;[-70.609203,-44.054711]
