city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Chamical,-30.3590,-66.3150,Argentina,AR,La Rioja,minor,12919,12919
Adolfo Gonzáles Chaves,-38.0333,-60.0833,Argentina,AR,Buenos Aires,minor,12914,12914
San Bernardo,-27.2917,-60.7083,Argentina,AR,Chaco,minor,12862,12862
Corzuela,-26.9333,-60.9667,Argentina,AR,Chaco,minor,12807,12807
La Leonesa,-27.0500,-58.7167,Argentina,AR,Chaco,minor,12609,12609
General Acha,-37.3833,-64.6000,Argentina,AR,La Pampa,minor,12583,12583
Monte Quemado,-25.8072,-62.8278,Argentina,AR,Santiago del Estero,minor,12543,12543
Nueve de Julio,-31.6167,-68.3833,Argentina,AR,San Juan,minor,12514,12514
Abra Pampa,-22.7167,-65.7000,Argentina,AR,Jujuy,minor,12513,12513
Villa Unión,-29.3000,-68.2000,Argentina,AR,La Rioja,minor,12263,12263
Lobería,-38.1635,-58.7823,Argentina,AR,Buenos Aires,minor,12199,12199
Puerto Tirol,-27.3604,-59.0627,Argentina,AR,Chaco,minor,12196,12196
Pampa del Infierno,-26.5167,-61.1667,Argentina,AR,Chaco,minor,12089,12089
Tornquist,-38.1000,-62.2333,Argentina,AR,Buenos Aires,minor,11759,11759
General La Madrid,-37.2500,-61.2500,Argentina,AR,Buenos Aires,minor,11618,11618
Mburucuyá,-28.0453,-58.2283,Argentina,AR,Corrientes,minor,11568,11568
Navarro,-35.0064,-59.2790,Argentina,AR,Buenos Aires,minor,11562,11562
Coronel Dorrego,-38.7187,-61.2873,Argentina,AR,Buenos Aires,minor,11510,11510
Campo Largo,-26.8008,-60.8422,Argentina,AR,Chaco,minor,11448,11448
Ramallo,-33.4833,-60.0000,Argentina,AR,Buenos Aires,minor,11428,11428
Quimilí,-27.6333,-62.4167,Argentina,AR,Santiago del Estero,minor,10959,10959
Villa del Totoral,-30.7046,-64.0682,Argentina,AR,Córdoba,minor,10928,10928
Roque Pérez,-35.4167,-59.3167,Argentina,AR,Buenos Aires,minor,10902,10902
Santa Rosa de Río Primero,-31.1500,-63.3833,Argentina,AR,Córdoba,minor,10873,10873
Sarmiento,-45.6000,-69.0833,Argentina,AR,Chubut,minor,10858,10858
San Roque,-28.5742,-58.7089,Argentina,AR,Corrientes,minor,10699,10699
La Cruz,-29.1833,-56.6500,Argentina,AR,Corrientes,minor,10663,10663
Chicoana,-25.1000,-65.5500,Argentina,AR,Salta,minor,10537,10537
Sauce,-30.0667,-58.7667,Argentina,AR,Corrientes,minor,10382,10382
Rivadavia,-24.1833,-62.8833,Argentina,AR,Salta,minor,10353,10353
Itatí,-27.2667,-58.2500,Argentina,AR,Corrientes,minor,10345,10345
Helvecia,-31.1000,-60.0833,Argentina,AR,Santa Fe,minor,10184,10184
Henderson,-36.3000,-61.7167,Argentina,AR,Buenos Aires,minor,9585,9585
Magdalena,-35.0833,-57.5167,Argentina,AR,Buenos Aires,minor,9294,9294
Santa Sylvina,-27.7833,-61.1500,Argentina,AR,Chaco,minor,9249,9249
Capilla del Señor,-34.2872,-59.1018,Argentina,AR,Buenos Aires,minor,9244,9244
San Miguel,-27.9959,-57.5896,Argentina,AR,Corrientes,minor,9187,9187
Tres Lomas,-36.4589,-62.8614,Argentina,AR,Buenos Aires,minor,9164,9164
Villa Aberastain,-31.6500,-68.5833,Argentina,AR,San Juan,minor,8946,8946
Maipú,-36.8667,-57.8667,Argentina,AR,Buenos Aires,minor,8865,8865
Alvear,-29.0968,-56.5504,Argentina,AR,Corrientes,minor,8816,8816
Nuestra Señora del Rosario de Caa Catí,-27.7500,-57.6161,Argentina,AR,Corrientes,minor,8578,8578
Concepción de la Sierra,-27.9833,-55.5167,Argentina,AR,Misiones,minor,8507,8507
Margarita Belén,-27.2667,-58.9667,Argentina,AR,Chaco,minor,8455,8455
Villa Cura Brochero,-31.7100,-65.0200,Argentina,AR,Córdoba,minor,8426,8426
Alba Posse,-27.5660,-54.6830,Argentina,AR,Misiones,minor,8367,8367
Simoca,-27.2667,-65.3333,Argentina,AR,Tucumán,minor,8351,8351
Hermoso Campo,-27.6167,-61.3500,Argentina,AR,Chaco,minor,8319,8319
Alberti,-35.0167,-60.2667,Argentina,AR,Buenos Aires,minor,8260,8260
Laprida,-37.5333,-60.8167,Argentina,AR,Buenos Aires,minor,8178,8178
Mar del Tuyú,-36.5806,-56.6917,Argentina,AR,Buenos Aires,minor,8070,8070
Villa Media Agua,-31.9833,-68.4333,Argentina,AR,San Juan,minor,7983,7983
Perito Moreno,-46.5900,-70.9297,Argentina,AR,Santa Cruz,minor,7808,7808
San Ignacio,-27.2584,-55.5392,Argentina,AR,Misiones,minor,7772,7772
Realicó,-35.0333,-64.2500,Argentina,AR,La Pampa,minor,7591,7591
Catriló,-36.4083,-63.4160,Argentina,AR,La Pampa,minor,7521,7521
Médanos,-38.8167,-62.6667,Argentina,AR,Buenos Aires,minor,7283,7283
Suncho Corral,-27.9372,-63.4303,Argentina,AR,Santiago del Estero,minor,7201,7201
General Conesa,-36.5000,-57.3167,Argentina,AR,Buenos Aires,minor,7156,7156
Pellegrini,-36.2667,-63.1667,Argentina,AR,Buenos Aires,minor,7143,7143
General Lavalle,-32.7167,-68.5667,Argentina,AR,Mendoza,minor,7005,7005
Castelli,-36.0906,-57.8083,Argentina,AR,Buenos Aires,minor,6859,6859
San Antonio de los Cobres,-24.2256,-66.3192,Argentina,AR,Salta,minor,6853,6853
Cachí,-25.1194,-66.1620,Argentina,AR,Salta,minor,6791,6791
San Antonio,-24.3675,-65.3353,Argentina,AR,Jujuy,minor,6729,6729
Tapalqué,-36.3500,-60.0167,Argentina,AR,Buenos Aires,minor,6605,6605
Añelo,-38.3500,-68.7833,Argentina,AR,Neuquén,minor,6477,6477
Ingeniero Guillermo N. Juárez,-23.9000,-61.8500,Argentina,AR,Formosa,minor,6453,6453
Santa Clara,-24.2833,-64.6833,Argentina,AR,Jujuy,minor,6374,6374
Famatina,-28.9167,-67.5167,Argentina,AR,La Rioja,minor,6371,6371
Villa Huidobro,-34.8333,-64.5833,Argentina,AR,Córdoba,minor,6345,6345
Coronel Vidal,-37.4500,-57.7167,Argentina,AR,Buenos Aires,minor,6320,6320
